Course Number,Course Name,Department,Prerequisites,Description
20003,with a grade of C- (1.7) or better and a journalism and mass communication (JMC) or integrated language arts (INLA) major. Special fee: $30 flat fee—subject to change. 20005Fundamentals of Media Messages,JMC,2,"Working with messages for print, broadcast, electronic and new media outlets. Course may not be taken for credit or applied toward any requirements by a journalism and mass communication major."
20003,with a grade of C- (1.7) or better. 20008Audience Analysis and Research,JMC,2,"An overview of the principles used to understand, interpret and design audience research. This includes terminology, methodologies of syndicated research, audience ratings analysis and psychographic/lifestyle data."
20003,and 21001; minimum grade of B- (2.7) in JMC 20004; passage of the Grammar Usage and Punctuation (GUP) test with a 70% or better; and a journalism and mass communication (JMC) major.21001Principles of Advertising,JMC,2,"Advertising history, purposes, techniques, media and research; analysis of functions of advertising organizations."
22002,with a  grade of C- (1.7) or better and journalism and mass communication (JMC) major. 22004Visual Storytelling,JMC,2,"Technical and digital skills needed to produce photos that communicate. Course will stress narrative work, detailed caption information and reporting. Prerequisites: JMC 22001 and journalism and mass communication (JMC) major.23001Introduction to Graphic Communications (2 or 3)Concepts and practices of transferring information graphically, whether it be picture or symbol, in single or multiple copies onto paper, cloth, metal, plastic, glass or other materials."
22001,"and journalism and mass communication (JMC) major.23001Introduction to Graphic Communications (2 or 3)Concepts and practices of transferring information graphically, whether it be picture or symbol, in single or multiple copies onto paper, cloth, metal, plastic, glass or other materials. Prerequisite: 2.75 overall GPA and ENG 21011 or HONR 10297. Special fee: $15 flat fee—subject to change. 23030Basic Electronic Media Video Production",JMC,2,"Theoretical and practical application of program production for video. Prerequisites: 2.75 overall GPA and JMC 20003 and 22002 both with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major. 23031Basic Electronic Media Audio Production (3)Theoretical and practical application of program production for audio production. Prerequisites: 2.75 overall GPA and JMC 20003 and 22002 both with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major. Special fee: $30 flat fee—subject to change.26001Newswriting (3)Theory and practice in writing basic print and electronic news and feature stories. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004 and a score of at least 70 percent of the Grammar Usage and Punctuation (GUP) test and a journalism and mass communication (JMC) or integrated language arts (INLA) major. Special fee: $30 flat fee—subject to change. 26007Print Beat Reporting (4)Gathering and writing news: interviewing techniques, cultivating sources, developing beats, meeting deadlines. Includes campus reporting for Daily Kent Stater."
20003,and 22002 both with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major. 23031Basic Electronic Media Audio Production,JMC,2,"Theoretical and practical application of program production for audio production. Prerequisites: 2.75 overall GPA and JMC 20003 and 22002 both with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major. Special fee: $30 flat fee—subject to change.26001Newswriting (3)Theory and practice in writing basic print and electronic news and feature stories. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004 and a score of at least 70 percent of the Grammar Usage and Punctuation (GUP) test and a journalism and mass communication (JMC) or integrated language arts (INLA) major. Special fee: $30 flat fee—subject to change. 26007Print Beat Reporting (4)Gathering and writing news: interviewing techniques, cultivating sources, developing beats, meeting deadlines. Includes campus reporting for Daily Kent Stater."
20003,and 22002 both with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major. Special fee: $30 flat fee—subject to change.26001Newswriting,JMC,2,"Theory and practice in writing basic print and electronic news and feature stories. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004 and a score of at least 70 percent of the Grammar Usage and Punctuation (GUP) test and a journalism and mass communication (JMC) or integrated language arts (INLA) major. Special fee: $30 flat fee—subject to change. 26007Print Beat Reporting (4)Gathering and writing news: interviewing techniques, cultivating sources, developing beats, meeting deadlines. Includes campus reporting for Daily Kent Stater."
20004,and a score of at least 70 percent of the Grammar Usage and Punctuation (GUP) test and a journalism and mass communication (JMC) or integrated language arts (INLA) major. Special fee: $30 flat fee—subject to change. 26007Print Beat Reporting,JMC,2,"Gathering and writing news: interviewing techniques, cultivating sources, developing beats, meeting deadlines. Includes campus reporting for Daily Kent Stater."
26001,with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major. Special fee: $40 flat fee—subject to change.26008Broadcast Beat Reporting,JMC,2,"Writing news, developing sources and beats, meeting deadlines as they relate to electronic media. Includes reporting campus news for daily broadcasts. Prerequisites: 2.75 overall GPA and JMC 22002 and 26001 both with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major. Special fee: $80 flat fee—subject to change.28001Principles of Public Relations (3)Explores strategic role and function of public relations in business, nonprofit, public institutions and society. Covers public relations practice from development to present."
22002,and 26001 both with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major. Special fee: $80 flat fee—subject to change.28001Principles of Public Relations,JMC,2,"Explores strategic role and function of public relations in business, nonprofit, public institutions and society. Covers public relations practice from development to present."
20004,and a journalism and mass communication (JMC) major and a core of at least 70 percent on the Grammar Usage and Punctuation (GUP) test.30030Mass Media Research,JMC,2,"Analysis of mass media research emphasizing quantitative social science inquiry and media applications leading to practical and critical understanding of research. Prerequisites: 2.75 overall GPA and JMC 20003 with a grade of C- (1.7) or better and MATH 11009 and a journalism and mass communication (JMC) major.30034Programming for Electronic Media (3)Background analysis of radio, TV, cable and Internet programming and the relationship to audience needs, interests, expectations and audience measurement procedures. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004 and a journalism and mass communication (JMC) major and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test. 31002  Advertising Copywriting (3)Examination and practice in various forms of advertising copywriting and their applications. Prerequisites: 2.75 overall GPA; and a grade of B- (2.7) or better in JMC 20004; and JMC 21001  and 31011 with a grade of C- (1.7) or better; and a journalism and mass communication (JMC) major; and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test.31003Advertising Media Planning (3)Analysis, selection and scheduling of advertising media. Examination of advertising research technique and application. Prerequisites: 2.75 cumulative GPA; and a grade of B- (2.7) or better in JMC 20004; and JMC 20008 and 21001 with a grade of C- (1.7) or better; and a journalism and mass communication (JMC) major; and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test.31011Creative Advertising Strategies (3)Advertising majors learn problem-solving techniques, which they will apply to business and creative proposals designed to promote products and/or services. Development of good, clear writing skills is a key component of the course. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004 and JMC 21001 with a grade of C- (1.7) or better.32001Photojournalism I (3)Production of photographs for newspapers, magazines and online news media. A laboratory course emphasizing color and black-and-white photography. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004; and JMC 22001 with a grade of C- (1.7) or better and VCD 37000 with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test. Special fee: $55 flat fee—subject to change.32002Photojournalism II (3)Continuation of JMC 32001. Advanced news and feature photography for newspapers, magazines and online, including a collaborative project. May be repeated once."
20003,with a grade of C- (1.7) or better and MATH 11009 and a journalism and mass communication (JMC) major.30034Programming for Electronic Media,JMC,2,"Background analysis of radio, TV, cable and Internet programming and the relationship to audience needs, interests, expectations and audience measurement procedures. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004 and a journalism and mass communication (JMC) major and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test. 31002  Advertising Copywriting (3)Examination and practice in various forms of advertising copywriting and their applications. Prerequisites: 2.75 overall GPA; and a grade of B- (2.7) or better in JMC 20004; and JMC 21001  and 31011 with a grade of C- (1.7) or better; and a journalism and mass communication (JMC) major; and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test.31003Advertising Media Planning (3)Analysis, selection and scheduling of advertising media. Examination of advertising research technique and application. Prerequisites: 2.75 cumulative GPA; and a grade of B- (2.7) or better in JMC 20004; and JMC 20008 and 21001 with a grade of C- (1.7) or better; and a journalism and mass communication (JMC) major; and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test.31011Creative Advertising Strategies (3)Advertising majors learn problem-solving techniques, which they will apply to business and creative proposals designed to promote products and/or services. Development of good, clear writing skills is a key component of the course. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004 and JMC 21001 with a grade of C- (1.7) or better.32001Photojournalism I (3)Production of photographs for newspapers, magazines and online news media. A laboratory course emphasizing color and black-and-white photography. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004; and JMC 22001 with a grade of C- (1.7) or better and VCD 37000 with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test. Special fee: $55 flat fee—subject to change.32002Photojournalism II (3)Continuation of JMC 32001. Advanced news and feature photography for newspapers, magazines and online, including a collaborative project. May be repeated once."
20004,and a journalism and mass communication (JMC) major and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test. 31002  Advertising Copywriting,JMC,2,"Examination and practice in various forms of advertising copywriting and their applications. Prerequisites: 2.75 overall GPA; and a grade of B- (2.7) or better in JMC 20004; and JMC 21001  and 31011 with a grade of C- (1.7) or better; and a journalism and mass communication (JMC) major; and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test.31003Advertising Media Planning (3)Analysis, selection and scheduling of advertising media. Examination of advertising research technique and application. Prerequisites: 2.75 cumulative GPA; and a grade of B- (2.7) or better in JMC 20004; and JMC 20008 and 21001 with a grade of C- (1.7) or better; and a journalism and mass communication (JMC) major; and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test.31011Creative Advertising Strategies (3)Advertising majors learn problem-solving techniques, which they will apply to business and creative proposals designed to promote products and/or services. Development of good, clear writing skills is a key component of the course. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004 and JMC 21001 with a grade of C- (1.7) or better.32001Photojournalism I (3)Production of photographs for newspapers, magazines and online news media. A laboratory course emphasizing color and black-and-white photography. Prerequisites: 2.75 overall GPA and a grade of B- (2.7) or better in JMC 20004; and JMC 22001 with a grade of C- (1.7) or better and VCD 37000 with a grade of C- (1.7) or better and a journalism and mass communication (JMC) major and a score of at least 70 percent on the Grammar Usage and Punctuation (GUP) test. Special fee: $55 flat fee—subject to change.32002Photojournalism II (3)Continuation of JMC 32001. Advanced news and feature photography for newspapers, magazines and online, including a collaborative project. May be repeated once."
