Course Number,Course Name,Department,Prerequisites,Description
10110,"and 10120. Non-majors should enroll in BSCI 10001 and 10002 series OR in courses specifically designated in the students’ program of study. Some biological science courses (i.e. 10001, 10002, 20001, 20020, 20021, 20022, 30030, 30050 and 40020) are not accepted for credit in any biological sciences major or minor. Credit toward any biological sciences major or minor will not be permitted for a mixture of courses from the major series (10110 and 10120) and the nonmajor series (10001, 10002, 20001, 20002, 20020 and 20021). A total of not more than 6 hours of any combination of BSCI 40099, 40191, 40192, 40193 or 40196 may be used toward fulfillment of the elective options and of these no more than 4 hours may be S/U graded.10001 Human Biology",BSCI,BSCI 40430,"Study of the scientific method and life’s properties, emphasizing human biology. Topics include energy, genetics, reproduction, development, disease, nutrition and physical fitness in humans."
10002,Life on Planet Earth,BSCI,BSCI 40430,"Explores the fascinating breadth of life on Earth, including the unique ecology and survival strategies of animals, plants and microbes in their natural habitats."
10003,Laboratory Experience in Biology,BSCI,BSCI 40430,Introductory college-level laboratory in biology for non-majors. Two hours of laboratory per week. Pre- or corequisite: BSCI 10001 or 10002. This course may be used to satisfy the Liberal Education Requirements (LER). Special fee: $25 flat fee—subject to change.10010 Lake Erie Environmental Science (3)**Principles and concepts of aquatic sciences and their relationship and application to marine business ventures in the Great Lakes region.
10001,or 10002. This course may be used to satisfy the Liberal Education Requirements (LER). Special fee: $25 flat fee—subject to change.10010 Lake Erie Environmental Science,BSCI,BSCI 40430,**Principles and concepts of aquatic sciences and their relationship and application to marine business ventures in the Great Lakes region.
10100,Anatomy for Veterinary Technicians,BSCI,BSCI 40430,"**Compare/identify anatomy and basic physiological functions of domestic animals: skeletal, muscles, integumentary, special sense organs, respiratory, digestive, urinary, reproductive, mammary glands, endocrine, nerves, circulatory, immune. Four-hour lecture and three-hour lab weekly."
10110,Biological Diversity,BSCI,BSCI 40430,"Considered first course in biology majors’ sequence. Examines the biodiversity of life from its origins to present-day microbes, plants and animals; their behavior, ecology and reproduction. Field trips."
10120,Biological Foundations,BSCI,BSCI 40430,"Considered second course in biology majors’ sequence. Examines organization of life from subcellular biochemistry and molecular biology to genetics, bioenergetics and system homeostasis. Three-hour lecture and three-hour lab weekly. Field trips."
10195,Special Topics in Biology (1-3)*(repeatable for a total of 99 hours) Selected subjects and/or themes in biology. Prerequisite: special approval. 11001 Anatomy for Physical and Occupational Therapy,BSCI,BSCI 40430,**This course covers the organization of the human body with emphasis on the structure and function of the neuro-musculo-skeletal systems.
11010,Anatomy and Physiology I for Allied Health,BSCI,BSCI 40430,"Anatomy and physiology to include organization of the human body, cells, tissues, organs and systems, integumentary, skeletal, muscular and respiratory systems and overview of the nervous and circulatory system."
11020,Anatomy and Physiology II for Allied Health,BSCI,BSCI 40430,"Anatomy and physiology of the circulatory, digestive, urinary, nervous, endocrine and reproductive systems."
11010,and special approval.16001 Horticultural Botany,BSCI,BSCI 40430,**To provide students with an understanding of the basic anatomy and physiology and growth characteristics of plants. Two-hour lecture and three-hour lab weekly; offered only at the Geauga and Salem campuses.
20001,Zoological Foundations of Medicine,BSCI,BSCI 40430,"General zoology, including elements of human and mammalian physiology, anatomy and histology. Two-hour lecture and four-hour lab weekly."
20020,Biological Structure and Function,BSCI,BSCI 40430,"Basic design of human systems emphasizing the physiochemical and cellular bases of organ-system structure, function and development. Four-hour lecture and three-hour lab weekly."
20021,Basic Microbiology,BSCI,BSCI 40430,Principles of microorganisms having a direct relationship on the health and well-being of man. Prerequisites: BSCI 20020; or BSCI 10100 and 10110.20022 Basic Microbiology Laboratory (1)Lab experience in microbiology. Three-hours of lab per week. Cannot be used to satisfy degree requirements for biology majors. Corequisite: BSCI 20021. Special fee: $12 flat fee—subject to change.20195 Special Topics in Biology (1-3)*(Repeatable for a total of 99 hours) Selected subjects and/or themes in biology.
10100,and 10110.20022 Basic Microbiology Laboratory,BSCI,BSCI 40430,Lab experience in microbiology. Three-hours of lab per week. Cannot be used to satisfy degree requirements for biology majors. Corequisite: BSCI 20021. Special fee: $12 flat fee—subject to change.20195 Special Topics in Biology (1-3)*(Repeatable for a total of 99 hours) Selected subjects and/or themes in biology.
20195,Special Topics in Biology (1-3)*(Repeatable for a total of 99 hours) Selected subjects and/or themes in biology. Prerequisite: special approval. 20196 Introduction to Individual Investigation (1-2)*Introduction to research in the biological sciences under the direction of a BSCI faculty mentor. S/U grading; IP grade permissible. Prerequisite: 8 credit hours of BSCI courses with a minimum grade of C (2.0) in those courses. Departmental and faculty mentor approvals required.26002 Ecological Principles of Pest Management,BSCI,BSCI 40430,"**Basic principles of integrated pest management, pesticide application, pest identification and environmental effects. Offered only at the Salem campuses. Prerequisites: BSCI 16001.26003 Plant Identification and Selection I (3)**Identification and selection of horticulturally important plant species. Emphasis on woody species, shrubs and trees. Two-hour lecture and three-hour lab weekly. Offered only at the Geauga and Salem campuses. Prerequisites: HORT 16001 and BSCI 16001.26004 Plant Identification and Selection II (3)**Identification and selection of horticulturally important plant species. Emphasis on herbaceous species, ground covers and vines. Two-hour lecture and three-hour lab weekly. Offered only at the Geauga and Salem campuses. Prerequisites: BSCI 16001 and HORT 16001.30005 Career Pathways in Biology (1)Orients students toward various career pathways in the biological sciences. Prerequisites: BSCI 10110 and 10120. 30030 Human Physiology (4)Integrating mechanisms, pharmacological and pathological considerations for selected organ systems. Prerequisites: BSCI 20020; or 10110 and 10120; and 9 credit hours of chemistry (CHEM) courses.30050 Human Genetics (3)Modern concepts of genetics applicable to the human, including examination of genetically related diseases and their societal implications. Prerequisites: 8 credit hours of biology and 5 credit hours of chemistry.30140 Cell Biology (4)Investigation of the cell as the fundamental unit of life with an emphasis on the relationship between cellular structure and function. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120 and CHEM 10060 and 10061 and 10062 and 10063. Special fee: $50 flat fee—subject to change. 30156 Elements of Genetics (3)Principles of organic mechanisms for expression and transmission of traits as studied in molecules, cells, organisms and populations. Prerequisites: BSCI 10110 and 10120.30171 General Microbiology (4)Fundamental principles of microbiology and of organisms including their structure, physiology, genetics, pathogenicity, classification, mechanisms of cultivation and control. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 30140 and CHEM 10060 and 10061 and 10062 and 10063. Special fee: $50 flat fee—subject to change.30267 Plant Physiology (4)Survey of physiological and biochemical processes, their interactions and effect on plant growth and behavior. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 30140 and CHEM 10060 and 10061 and 10062 and 10063.30274 Forestry (2)Management of the forest resource within appropriate environmental constraints for sustained use relative to watershed protection, lumber production, recreation and wildlife. One-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120.30275 Local Flora (4)Identification and field study of local plants: native, naturalized and cultivated. Two-hour lecture and six-hour lab weekly. Prerequisites: BSCI 10110 and 10120. Special fee: $50 flat fee—subject to change.30277 Economic Botany (2)Biology of plants important to man and their relation to climate and geography. Two-hour lecture weekly. Prerequisites: BSCI 10110 and 10120.30360 General Ecology (4)Principles of ecology based on field studies of local plant and animal communities. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120 and MATH 11011 and junior or senior standing.Special fee: $30 flat fee—subject to change.30361 Biogeography (3)Geographical distribution of biotic communities with special reference to North America and to their environmental control. Three-hour lecture weekly. Prerequisites: BSCI 10110 and 10120.30518 Vertebrate Anatomy (4)Concepts and methods of functional morphology. Comparative study of vertebrate organs and systems: skeletal, muscular, digestive, respiratory, circulatory, urogenital, nervous and endocrine. Three-hour lecture and three-hour lab weekly."
26003,Plant Identification and Selection I,BSCI,BSCI 40430,"**Identification and selection of horticulturally important plant species. Emphasis on woody species, shrubs and trees. Two-hour lecture and three-hour lab weekly. Offered only at the Geauga and Salem campuses. Prerequisites: HORT 16001 and BSCI 16001.26004 Plant Identification and Selection II (3)**Identification and selection of horticulturally important plant species. Emphasis on herbaceous species, ground covers and vines. Two-hour lecture and three-hour lab weekly. Offered only at the Geauga and Salem campuses. Prerequisites: BSCI 16001 and HORT 16001.30005 Career Pathways in Biology (1)Orients students toward various career pathways in the biological sciences. Prerequisites: BSCI 10110 and 10120. 30030 Human Physiology (4)Integrating mechanisms, pharmacological and pathological considerations for selected organ systems. Prerequisites: BSCI 20020; or 10110 and 10120; and 9 credit hours of chemistry (CHEM) courses.30050 Human Genetics (3)Modern concepts of genetics applicable to the human, including examination of genetically related diseases and their societal implications. Prerequisites: 8 credit hours of biology and 5 credit hours of chemistry.30140 Cell Biology (4)Investigation of the cell as the fundamental unit of life with an emphasis on the relationship between cellular structure and function. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120 and CHEM 10060 and 10061 and 10062 and 10063. Special fee: $50 flat fee—subject to change. 30156 Elements of Genetics (3)Principles of organic mechanisms for expression and transmission of traits as studied in molecules, cells, organisms and populations. Prerequisites: BSCI 10110 and 10120.30171 General Microbiology (4)Fundamental principles of microbiology and of organisms including their structure, physiology, genetics, pathogenicity, classification, mechanisms of cultivation and control. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 30140 and CHEM 10060 and 10061 and 10062 and 10063. Special fee: $50 flat fee—subject to change.30267 Plant Physiology (4)Survey of physiological and biochemical processes, their interactions and effect on plant growth and behavior. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 30140 and CHEM 10060 and 10061 and 10062 and 10063.30274 Forestry (2)Management of the forest resource within appropriate environmental constraints for sustained use relative to watershed protection, lumber production, recreation and wildlife. One-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120.30275 Local Flora (4)Identification and field study of local plants: native, naturalized and cultivated. Two-hour lecture and six-hour lab weekly. Prerequisites: BSCI 10110 and 10120. Special fee: $50 flat fee—subject to change.30277 Economic Botany (2)Biology of plants important to man and their relation to climate and geography. Two-hour lecture weekly. Prerequisites: BSCI 10110 and 10120.30360 General Ecology (4)Principles of ecology based on field studies of local plant and animal communities. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120 and MATH 11011 and junior or senior standing.Special fee: $30 flat fee—subject to change.30361 Biogeography (3)Geographical distribution of biotic communities with special reference to North America and to their environmental control. Three-hour lecture weekly. Prerequisites: BSCI 10110 and 10120.30518 Vertebrate Anatomy (4)Concepts and methods of functional morphology. Comparative study of vertebrate organs and systems: skeletal, muscular, digestive, respiratory, circulatory, urogenital, nervous and endocrine. Three-hour lecture and three-hour lab weekly."
16001,and BSCI 16001.26004 Plant Identification and Selection II,BSCI,BSCI 40430,"**Identification and selection of horticulturally important plant species. Emphasis on herbaceous species, ground covers and vines. Two-hour lecture and three-hour lab weekly. Offered only at the Geauga and Salem campuses. Prerequisites: BSCI 16001 and HORT 16001.30005 Career Pathways in Biology (1)Orients students toward various career pathways in the biological sciences. Prerequisites: BSCI 10110 and 10120. 30030 Human Physiology (4)Integrating mechanisms, pharmacological and pathological considerations for selected organ systems. Prerequisites: BSCI 20020; or 10110 and 10120; and 9 credit hours of chemistry (CHEM) courses.30050 Human Genetics (3)Modern concepts of genetics applicable to the human, including examination of genetically related diseases and their societal implications. Prerequisites: 8 credit hours of biology and 5 credit hours of chemistry.30140 Cell Biology (4)Investigation of the cell as the fundamental unit of life with an emphasis on the relationship between cellular structure and function. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120 and CHEM 10060 and 10061 and 10062 and 10063. Special fee: $50 flat fee—subject to change. 30156 Elements of Genetics (3)Principles of organic mechanisms for expression and transmission of traits as studied in molecules, cells, organisms and populations. Prerequisites: BSCI 10110 and 10120.30171 General Microbiology (4)Fundamental principles of microbiology and of organisms including their structure, physiology, genetics, pathogenicity, classification, mechanisms of cultivation and control. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 30140 and CHEM 10060 and 10061 and 10062 and 10063. Special fee: $50 flat fee—subject to change.30267 Plant Physiology (4)Survey of physiological and biochemical processes, their interactions and effect on plant growth and behavior. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 30140 and CHEM 10060 and 10061 and 10062 and 10063.30274 Forestry (2)Management of the forest resource within appropriate environmental constraints for sustained use relative to watershed protection, lumber production, recreation and wildlife. One-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120.30275 Local Flora (4)Identification and field study of local plants: native, naturalized and cultivated. Two-hour lecture and six-hour lab weekly. Prerequisites: BSCI 10110 and 10120. Special fee: $50 flat fee—subject to change.30277 Economic Botany (2)Biology of plants important to man and their relation to climate and geography. Two-hour lecture weekly. Prerequisites: BSCI 10110 and 10120.30360 General Ecology (4)Principles of ecology based on field studies of local plant and animal communities. Three-hour lecture and three-hour lab weekly. Prerequisites: BSCI 10110 and 10120 and MATH 11011 and junior or senior standing.Special fee: $30 flat fee—subject to change.30361 Biogeography (3)Geographical distribution of biotic communities with special reference to North America and to their environmental control. Three-hour lecture weekly. Prerequisites: BSCI 10110 and 10120.30518 Vertebrate Anatomy (4)Concepts and methods of functional morphology. Comparative study of vertebrate organs and systems: skeletal, muscular, digestive, respiratory, circulatory, urogenital, nervous and endocrine. Three-hour lecture and three-hour lab weekly."
